Years,Months (MES),CADENA GENERAL,NAME,QUANTITY,VALUE,PRICE
2020,10,Benavides,Atoderm Barra 150 gr,106,8958.01,84.5095283
2020,10,Benavides,Atoderm Crema Tubo 200 ml,62,7311.01,117.9195161
2020,10,Benavides,Atoderm Intensive Balsamo 200 ml,42,11122.86,264.83
2020,10,Benavides,KIT Photoderm Nude Dor. + Sebium Gel M. 100ml,1,404.31,404.31
2020,10,Benavides,KIT Sensibio  H2O 250ml +Sensibio  Gel 100ml,1,205.17,205.17
2020,10,Benavides,Photoderm AR Spf 50+ 30 ml,13,5536.18,425.86
2020,10,Benavides,Photoderm Cover T. Claro 40 gr,80,34568.61,432.107625
2020,10,Benavides,Photoderm Cover T. Dorado 40 gr,44,18904.11,429.6388636
2020,10,Benavides,Photoderm MAX Aquafluido Claro 40 ml,68,23171.34,340.755
2020,10,Benavides,Photoderm MAX Aquafluido Dorado 40 ml,30,10727.47,357.5823333
2020,10,Benavides,Photoderm MAX Aquafluido Neutro 40 ml,46,15296.34,332.5291304
2020,10,Benavides,Photoderm MAX Crema 40 ml,16,4445.93,277.870625
2020,10,Benavides,Photoderm MAX Spray Spf 50+ 400 ml,21,11839.59,563.79
2020,10,Benavides,Photoderm Nude Touch Claro Spf 50+ 40 ml,38,14639.58,385.2521053
2020,10,Benavides,Photoderm Nude Touch Dorado Spf 50+ 40 ml,18,6726.78,373.71
2020,10,Benavides,Photoderm Nude Touch Muy Claro Spf 50+ 40 ml,27,10090.17,373.71
2020,10,Benavides,Photoderm Spot Age Spf 50+ 40 ml,15,6246.29,416.4193333
2020,10,Benavides,Sebium Barra 100 gr,36,4611.35,128.0930556
2020,10,Benavides,Sebium Gel Moussant 100 ml,170,30414.54,178.9090588
2020,10,Benavides,Sebium Gel Moussant 200 ml,105,33309.93,317.2374286
2020,10,Benavides,Sebium H2O 100 ml,58,9650.18,166.3824138
2020,10,Benavides,Sebium H2O 250 ml,25,8534.54,341.3816
2020,10,Benavides,Sebium H2O 500 ml,37,17482.38,472.4967568
2020,10,Benavides,Sebium Pore Refiner 30 ml,50,23978.47,479.5694
2020,10,Benavides,Sensibio AR 40 ml,64,25622.06,400.3446875
2020,10,Benavides,Sensibio Ds+ Crema 40 ml,41,14244.65,347.4304878
2020,10,Benavides,Sensibio Gel Contorno de Ojos 15 ml,34,10666.96,313.7341176
2020,10,Benavides,Sensibio Gel Moussant 200 ml,182,57777.49,317.4587363
2020,10,Benavides,Sensibio Gel Moussant Tubo 100 ml,162,26728.01,164.987716
2020,10,Benavides,Sensibio H2O 100 ml,185,30271.54,163.6299459
2020,10,Benavides,Sensibio H2O 250 ml,81,27845.02,343.765679
2020,10,Benavides,Sensibio H2O 500 ml,160,76240.77,476.5048125
2020,10,Dekafarma,ABCDerm Gel Moussant 1 l,2,555.424,277.712
2020,10,Dekafarma,Atoderm Barra 150 gr,76,6627.314,87.2015
2020,10,Dekafarma,Atoderm Crema Tubo 200 ml,10,1238.365,123.8365
2020,10,Dekafarma,Atoderm Intensive Balsamo 200 ml,31,8381.935,270.385
2020,10,Dekafarma,Atoderm Intensive Balsamo 500 ml,20,9319.88,465.994
2020,10,Dekafarma,Atoderm Intensive Balsamo 75 ml,12,1749.81,145.8175
2020,10,Dekafarma,Atoderm Intensive Gel Moussant 200 ml,9,1576.1295,175.1255
2020,10,Dekafarma,Atoderm SOS Spray 50 ml,2,438.192,219.096
2020,10,Dekafarma,Cicabio Arnica+ 40 ml,3,657.288,219.096
2020,10,Dekafarma,Cicabio Crema 40 ml,7,1692.656,241.808
2020,10,Dekafarma,KIT Nodé 125ml,8,2221.696,277.712
2020,10,Dekafarma,KIT Photoderm Aqua. Neutro +Sensibio  H2O 100ml,2,564.162,282.081
2020,10,Dekafarma,KIT Photoderm Nude Muy Claro + Sebium Gel M. 100ml,3,1127.1927,375.7309
2020,10,Dekafarma,KIT Sensibio H2O 250 ml 2 pzas,2,593.3482,296.6741
2020,10,Dekafarma,Nodé Shampoo Fluido 400 ml,1,299.7015,299.7015
2020,10,Dekafarma,Photoderm AR Spf 50+ 30 ml,1,358.3175,358.3175
2020,10,Dekafarma,Photoderm Crema Dorado Spf 50+ 40 ml,1,282.115,282.115
2020,10,Dekafarma,Photoderm M Spf 50+ 40 ml,5,1791.5875,358.3175
2020,10,Dekafarma,Photoderm MAX Aquafluido Dorado 40 ml,4,1128.46,282.115
2020,10,Dekafarma,Photoderm MAX Crema 40 ml,2,564.23,282.115
2020,10,Dekafarma,Photoderm MAX Leche Spf 50+ 100 ml,3,956.25,318.75
2020,10,Dekafarma,Photoderm MAX Spray Spf 50+ 400 ml,2,951.116,475.558
2020,10,Dekafarma,Photoderm Nude Touch Claro Spf 50+ 40 ml,3,1110.117,370.039
2020,10,Dekafarma,Photoderm Nude Touch Dorado Spf 50+ 40 ml,5,1850.195,370.039
2020,10,Dekafarma,Photoderm Spot Age Spf 50+ 40 ml,1,363.5869,363.5869
2020,10,Dekafarma,Sebium Barra 100 gr,2,212.5,106.25
2020,10,Dekafarma,Sebium Gel Moussant 100 ml,28,3898.202,139.2215
2020,10,Dekafarma,Sebium Gel Moussant 200 ml,16,4279.376,267.461
2020,10,Dekafarma,Sebium Gel Moussant 500 ml,14,6249.2248,446.3732
2020,10,Dekafarma,Sebium Gel Moussant Tubo 200 ml,2,541.548,270.774
2020,10,Dekafarma,Sebium Global 30 ml,4,1403.962,350.9905
2020,10,Dekafarma,Sebium H2O 100 ml,2,256.462,128.231
2020,10,Dekafarma,Sebium H2O 250 ml,5,1447.21,289.442
2020,10,Dekafarma,Sebium H2O 500 ml,2,806.038,403.019
2020,10,Dekafarma,Sebium H2O Bomba Inv 500 ml,1,435.9905,435.9905
2020,10,Dekafarma,Sebium Hydra 40 ml,6,1842.171,307.0285
2020,10,Dekafarma,Sebium Night Peel 40 ml,1,394.0763,394.0763
2020,10,Dekafarma,Sebium Pore Refiner 30 ml,1,402.288,402.288
2020,10,Dekafarma,Sensibio AR 40 ml,8,2690.692,336.3365
2020,10,Dekafarma,Sensibio Ds+ Crema 40 ml,18,5262.741,292.3745
2020,10,Dekafarma,Sensibio Forte 40 ml,3,877.1235,292.3745
